Date/time,,",",Major,Function,",",Process,",",Status,,",",File,",",Type,,",","not used,",Minor,"Function,","not used,",Oper,ation flags,,,,",","not used,",IRP Flags,,,,",","not used,",PID,",",Threa,"dID,",C,"PU,"
9/27/2019,31:26.3,",",0x00,IRP_MJ_CREATE,",",USBGuard.exe,",",C0000034,STATUS_OBJECT_NAME_NOT_FOUND,",",C:\Program Files (x86)\USB Disk Security\config.ini,",",Irp,(NPP),",",",",0x00,",",",",0xCD,(SL_FORCE_ACCESS_CHECK,SL_OPEN_TARGET_DIRE,CTORY  SL_CASE_SENSITIVE,),",",",",0x00000884,IRP_SYNCHRONOUS_API  IRP_CREATE_OPERATION  IRP_DEFER_IO_COMPLETION,,,",",",",696,",",248,",",1,","
9/27/2019,31:26.7,",",0xF2,IRP_MJ_NETWORK_QUERY_OPEN,",",USBGuard.exe,",",C01C0004,STATUS_FLT_DISALLOW_FAST_IO,",",C:\Program Files (x86)\USB Disk Security\config.ini,",",Fast,I/O,",",",",0x00,",",",",0xCD,,,,,",",",",0x00000000,,,,",",",",696,",",248,",",0,","
9/27/2019,31:26.7,",",0x00,IRP_MJ_CREATE,",",USBGuard.exe,",",C0000034,STATUS_OBJECT_NAME_NOT_FOUND,",",C:\Program Files (x86)\USB Disk Security\config.ini,",",Irp,(NPP),",",",",0x00,",",",",0xCD,(SL_FORCE_ACCESS_CHECK,SL_OPEN_TARGET_DIRE,CTORY  SL_CASE_SENSITIVE,),",",",",0x00000884,IRP_SYNCHRONOUS_API  IRP_CREATE_OPERATION  IRP_DEFER_IO_COMPLETION,,,",",",",696,",",248,",",0,","
9/27/2019,31:26.9,",",0xF2,IRP_MJ_NETWORK_QUERY_OPEN,",",svchost.exe,",",C01C0004,STATUS_FLT_DISALLOW_FAST_IO,",",C:\Windows\System32\drivers\fltMgr.sys,",",Fast,I/O,",",",",0x00,",",",",0xCD,,,,,",",",",0x00000000,,,,",",",",740,",",796,",",1,","
9/27/2019,31:26.9,",",0x00,IRP_MJ_CREATE,",",svchost.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\drivers\fltMgr.sys,",",Irp,(NPP),",",",",0x00,",",",",0xCD,(SL_FORCE_ACCESS_CHECK,SL_OPEN_TARGET_DIRE,CTORY  SL_CASE_SENSITIVE,),",",",",0x00000884,IRP_SYNCHRONOUS_API  IRP_CREATE_OPERATION  IRP_DEFER_IO_COMPLETION,,,",",",",740,",",796,",",1,","
9/27/2019,31:26.9,",",0x05,IRP_MJ_QUERY_INFORMATION,",",svchost.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\drivers\fltMgr.sys,",",Fast,I/O,",",",",0x00,",",",",0x00,,,,,",",",",0x00000000,,,,",",",",740,",",796,",",1,","
9/27/2019,31:26.9,",",0x12,IRP_MJ_CLEANUP,",",svchost.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\drivers\fltMgr.sys,",",Irp,,",",",",0x00,",",",",0x00,,,,,",",",",0x00000404,IRP_SYNCHRONOUS_API  IRP_CLOSE_OPEARTION,,,",",",",740,",",796,",",1,","
9/27/2019,31:26.9,",",0x02,IRP_MJ_CLOSE,",",svchost.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\drivers\fltMgr.sys,",",Irp,,",",",",0x00,",",",",0x00,,,,,",",",",0x00000404,IRP_SYNCHRONOUS_API  IRP_CLOSE_OPEARTION,,,",",",",740,",",796,",",1,","
9/27/2019,31:26.9,",",0x00,IRP_MJ_CREATE,",",svchost.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\drivers\fltMgr.sys,",",Irp,(NPP),",",",",0x00,",",",",0x00,,,,,",",",",0x00000884,IRP_SYNCHRONOUS_API  IRP_CREATE_OPERATION  IRP_DEFER_IO_COMPLETION,,,",",",",740,",",796,",",1,","
9/27/2019,31:26.9,",",0xFF,IRP_MJ_ACQUIRE_FOR_SECTION_SYNCHRONIZATION,",",svchost.exe,",",0000012A,Unknown Status: 0000012A,",",C:\Windows\System32\drivers\fltMgr.sys,",",MiniF,ilter,",",",",0x00,",",",",0x00,,,,,",",",",0x00000000,,,,",",",",740,",",796,",",1,","
